Age,Gender,City,Education_Level,Income,J_ds,Grade,churn,inc_rating,t_b_v,income_increase,Reporting_year,Reporting_moth,Reporting_day,Dofj_year,Dofj_moth,Dofj_day
34.0,0.0,14,0,21276,1,1,1,0,0.0,0,2020,8,1,2020,4,5
31.0,0.0,14,1,43053,1,1,1,0,100000.0,0,2019,6,1,2018,12,14
23.0,1.0,14,0,36637,2,2,1,0,61111.11,0,2019,9,1,2018,11,9
42.2,1.0,14,2,24490,1,1,1,0,323356.0,0,2019,5,1,2018,5,26
34.0,0.0,5,1,95694,2,4,1,0,0.0,0,2019,11,1,2018,6,26
30.0,1.0,5,2,26926,3,3,0,0,0.0,0,2020,12,1,2020,6,11
32.0,0.0,5,2,25832,1,1,1,0,123760.0,0,2020,7,1,2020,1,13
42.2,1.0,18,2,43263,1,1,1,0,129114.29,0,2020,5,1,2019,3,11
34.0,1.0,18,2,62199,2,2,1,0,225790.0,0,2020,7,1,2020,12,4
29.0,0.0,18,0,82120,1,3,1,0,302071.25,0,2019,8,1,2016,11,30
34.0,0.0,18,1,20922,2,2,1,0,30320.0,0,2020,3,1,2019,2,11
34.0,0.0,18,0,36483,2,2,0,0,179763.57,0,2020,12,1,2019,11,15
36.0,1.0,18,0,108051,4,4,1,0,11089.09,0,2019,11,1,2018,7,11
27.0,1.0,18,2,63380,3,3,0,1,820468.46,0,2020,12,1,2019,12,19
37.0,1.0,18,1,66952,3,3,0,0,268026.67,0,2020,12,1,2020,10,4
47.0,0.0,18,2,59084,1,2,1,0,713072.86,0,2020,2,1,2018,7,5
30.0,0.0,18,0,54074,2,2,1,0,500000.0,0,2020,10,1,2020,6,28
27.0,0.0,18,0,19419,1,1,1,0,0.0,0,2020,12,1,2020,9,28
44.0,0.0,18,1,75001,3,3,1,1,164388.57,0,2020,12,1,2020,5,29
41.0,0.0,14,1,94594,2,3,1,0,220572.22,0,2019,9,1,2013,10,16
30.0,0.0,14,0,87902,1,3,0,1,1313904.17,0,2020,12,1,2016,12,16
46.0,0.0,14,1,66707,3,3,1,0,0.0,0,2020,6,1,2019,11,28
38.0,1.0,14,0,42260,3,3,1,0,0.0,0,2019,9,1,2019,5,30
33.0,0.0,14,0,28921,1,1,0,0,296650.0,0,2020,12,1,2020,10,30
34.0,1.0,27,2,84713,3,3,1,0,165672.94,0,2020,11,1,2019,4,7
42.2,1.0,27,0,68151,1,2,1,0,84307.5,0,2019,4,1,2017,5,12
39.0,0.0,27,0,15826,1,1,0,0,0.0,0,2020,12,1,2020,12,20
26.0,1.0,27,0,12968,1,1,0,0,0.0,0,2020,12,1,2020,9,28
32.0,0.0,26,0,61894,3,3,1,0,802430.0,0,2019,4,1,2018,9,5
31.0,0.0,26,2,31657,1,1,1,0,75356.0,0,2019,5,1,2019,6,1
38.0,0.0,26,2,64583,3,3,0,0,100317.5,0,2020,12,1,2020,3,5
34.0,1.0,26,2,81730,3,3,1,0,0.0,0,2020,8,1,2020,5,6
37.0,0.0,15,0,59947,2,2,0,0,507607.92,0,2020,12,1,2018,5,9
42.2,1.0,15,1,17307,1,1,1,0,158400.91,0,2020,5,1,2019,7,19
30.0,0.0,29,1,86340,2,2,1,0,540068.46,0,2020,7,1,2019,4,7
32.0,0.0,29,1,27328,1,2,1,0,975705.0,0,2019,6,1,2016,5,20
25.0,0.0,29,0,27979,1,1,0,1,146924.0,0,2020,12,1,2020,7,31
36.0,0.0,29,0,51657,2,2,1,0,255031.82,0,2019,11,1,2018,11,5
38.0,1.0,29,1,107539,2,3,1,0,278445.0,0,2019,10,1,2013,11,20
31.0,0.0,29,0,13051,1,1,1,0,0.0,0,2019,1,1,2018,12,29
26.0,0.0,29,0,92753,3,3,1,0,0.0,0,2019,10,1,2019,12,9
25.0,0.0,29,0,59108,2,2,1,0,389977.5,0,2019,4,1,2018,8,24
32.0,1.0,29,0,44792,3,3,0,1,373711.67,0,2020,12,1,2020,7,13
36.0,1.0,29,1,55528,2,2,1,0,167471.43,0,2020,5,1,2019,9,11
45.0,1.0,29,2,61912,3,3,1,0,904743.75,0,2020,12,1,2020,1,5
45.0,0.0,29,2,53385,1,1,1,0,611183.53,0,2020,5,1,2016,7,25
43.0,0.0,29,0,104995,4,4,1,1,1327490.0,0,2020,4,1,2019,3,8
34.0,0.0,29,0,44359,2,2,1,0,448036.92,0,2020,1,1,2018,10,13
32.0,0.0,29,1,21354,1,1,1,0,0.0,0,2019,1,1,2018,10,22
34.0,0.0,29,2,23185,1,1,1,0,0.0,0,2019,1,1,2018,3,7
36.0,1.0,29,1,139139,3,3,0,0,83333.33,0,2020,12,1,2020,6,28
27.0,1.0,28,1,52616,2,2,0,1,233395.0,0,2020,12,1,2020,2,1
39.0,1.0,28,0,37873,1,1,1,0,0.0,0,2019,2,1,2018,8,10
33.0,0.0,28,0,75626,3,3,0,0,45267.5,0,2020,12,1,2020,4,9
32.0,0.0,28,0,40168,2,2,1,0,82551.67,0,2020,6,1,2020,1,14
24.0,0.0,17,0,33901,1,1,1,0,0.0,0,2019,1,1,2018,12,11
28.0,0.0,17,0,11236,1,1,1,0,0.0,0,2020,1,1,2019,3,11
26.0,0.0,17,2,60228,3,3,0,0,96630.0,0,2020,12,1,2020,8,14
40.0,0.0,8,2,37346,1,2,1,0,309534.0,0,2019,10,1,2018,4,5
38.0,0.0,8,2,77903,2,2,1,0,0.0,0,2020,12,1,2020,11,9
42.0,0.0,8,1,64128,1,2,1,0,253132.22,0,2019,9,1,2016,12,13
39.0,1.0,8,0,27294,2,2,1,0,123980.0,0,2020,10,1,2020,6,14
37.0,0.0,25,2,81700,1,3,0,0,1181170.42,0,2020,12,1,2018,6,16
21.0,0.0,21,0,25172,1,1,1,0,0.0,0,2019,1,1,2018,10,19
30.0,0.0,20,1,31655,3,3,1,0,50076.67,0,2020,2,1,2019,12,14
29.0,0.0,20,0,25459,1,1,0,1,332256.25,0,2020,12,1,2020,3,5
29.0,0.0,20,1,47864,1,1,1,0,0.0,0,2020,1,1,2019,10,31
42.0,1.0,20,2,90988,3,3,1,0,494548.12,0,2020,4,1,2018,7,27
28.0,1.0,20,1,24862,2,2,1,0,171431.43,0,2019,7,1,2019,1,16
24.0,0.0,20,0,19170,1,1,0,0,96500.0,0,2020,12,1,2020,12,10
25.0,0.0,20,2,49439,1,1,1,0,0.0,0,2020,12,1,2020,12,18
34.0,0.0,20,1,40381,1,1,0,1,243825.71,0,2020,12,1,2020,5,30
43.0,0.0,20,1,40102,1,2,1,0,426441.67,0,2019,6,1,2017,10,17
36.0,0.0,20,0,89200,3,3,1,1,364389.0,0,2020,7,1,2019,7,10
31.0,1.0,20,1,54352,1,1,1,0,268289.33,0,2020,8,1,2019,1,6
36.0,0.0,5,1,76336,3,3,1,0,65000.0,0,2020,8,1,2020,4,5
38.0,0.0,5,2,134529,4,4,0,1,2738444.29,0,2020,12,1,2020,5,29
37.0,0.0,14,1,64901,2,2,0,1,473306.84,0,2020,12,1,2019,5,30
29.0,0.0,14,1,40259,1,1,0,0,115492.5,0,2020,12,1,2020,8,30
39.0,0.0,14,1,53224,2,2,0,0,0.0,0,2020,12,1,2020,12,20
41.0,0.0,14,0,97226,1,4,0,0,1404074.58,1,2020,12,1,2016,2,5
30.0,1.0,14,1,107495,3,3,0,1,160946.67,0,2020,12,1,2020,6,30
34.0,0.0,14,0,52191,1,1,1,0,176336.67,0,2019,3,1,2016,10,21
29.0,1.0,14,0,41800,1,1,1,0,304014.44,0,2020,7,1,2019,2,11
34.0,1.0,14,2,108013,4,4,1,0,482230.71,0,2020,2,1,2013,12,10
43.0,1.0,14,1,78607,3,3,0,0,82270.0,0,2020,12,1,2020,10,10
29.0,1.0,19,0,57339,2,2,1,0,0.0,0,2020,12,1,2020,8,16
27.0,1.0,19,2,57420,2,2,0,0,0.0,0,2020,12,1,2020,10,11
34.0,0.0,19,2,42189,2,2,1,0,0.0,0,2020,2,1,2020,3,1
30.0,1.0,19,1,70781,2,2,1,0,30080.0,0,2020,11,1,2020,7,13
30.0,1.0,19,0,13605,1,1,1,0,0.0,0,2020,9,1,2020,5,22
41.0,1.0,29,0,62901,2,2,0,0,0.0,0,2020,12,1,2020,12,18
29.0,0.0,29,0,51110,2,2,0,0,0.0,0,2020,12,1,2020,7,18
25.0,1.0,29,1,66842,1,1,1,0,0.0,0,2019,11,1,2019,7,28
27.0,1.0,29,2,49695,2,2,1,0,254648.0,0,2019,5,1,2018,12,2
33.0,1.0,29,2,81858,3,3,1,0,0.0,0,2020,8,1,2020,5,7
28.0,1.0,29,1,45981,1,1,1,0,124470.0,0,2019,3,1,2016,2,12
36.0,0.0,29,0,13793,1,1,0,0,51120.0,0,2020,12,1,2020,10,10
29.0,1.0,29,0,35983,2,2,1,0,37615.0,0,2019,6,1,2019,5,1
32.0,1.0,29,1,65094,1,2,0,0,1245893.75,0,2020,12,1,2018,10,6
38.0,0.0,29,2,109473,3,3,0,0,0.0,0,2020,12,1,2020,12,19
39.0,0.0,29,0,70753,3,3,1,0,187721.25,0,2020,4,1,2019,12,9
36.0,1.0,29,0,25851,1,1,1,0,0.0,0,2019,11,1,2019,8,20
42.0,0.0,29,1,78645,1,2,1,0,0.0,0,2019,5,1,2015,10,15
29.2,0.0,29,0,20176,1,1,1,0,0.0,0,2019,2,1,2018,8,26
31.0,1.0,8,0,53025,2,2,0,0,0.0,0,2020,12,1,2020,11,29
39.0,0.0,8,0,88207,2,4,1,0,2583608.18,1,2020,10,1,2018,5,10
32.0,0.0,8,2,188418,2,5,0,0,2417687.08,0,2020,12,1,2014,8,15
30.0,1.0,8,1,77597,3,3,0,0,0.0,0,2020,12,1,2020,11,12
27.0,1.0,8,2,58439,1,1,0,0,0.0,0,2020,12,1,2020,11,12
34.0,0.0,19,0,26047,2,2,1,0,0.0,0,2020,9,1,2020,3,18
42.2,1.0,19,0,96603,3,3,1,0,25008.33,0,2020,9,1,2020,4,18
29.0,1.0,19,2,50281,3,3,1,0,0.0,0,2020,10,1,2020,12,9
47.0,0.0,19,2,42592,1,1,1,0,125000.0,0,2019,2,1,2018,9,19
35.0,0.0,19,1,59936,2,2,1,0,346389.33,0,2020,8,1,2019,6,17
33.0,1.0,19,1,37890,1,1,1,0,0.0,0,2020,1,1,2019,10,18
30.0,0.0,19,2,51819,3,3,1,0,0.0,0,2020,3,1,2020,2,1
28.0,1.0,19,0,63126,1,2,0,0,1256403.33,1,2020,12,1,2018,7,13
27.0,1.0,19,1,29869,1,1,1,0,40416.67,0,2020,4,1,2019,10,31
41.0,1.0,19,0,57245,2,2,1,0,66666.67,0,2019,11,1,2019,6,15
30.0,1.0,19,2,64558,2,2,0,1,263316.67,0,2020,12,1,2020,6,1
31.0,0.0,19,1,69160,3,3,0,0,766666.67,0,2020,12,1,2020,3,7
29.2,0.0,19,2,50739,1,1,1,0,13627.5,0,2019,8,1,2018,11,30
24.0,0.0,19,2,69454,2,2,1,0,48500.0,0,2020,7,1,2020,4,21
38.0,0.0,19,1,26658,1,1,1,0,210405.0,0,2019,4,1,2018,5,29
35.0,1.0,19,1,54816,3,3,1,0,25000.0,0,2019,8,1,2018,11,12
44.0,1.0,19,1,133752,1,3,0,0,613214.58,0,2020,12,1,2015,7,19
39.0,1.0,19,1,35694,1,1,1,0,0.0,0,2019,2,1,2018,9,24
35.0,0.0,19,2,71154,3,3,0,0,0.0,0,2020,12,1,2020,9,27
29.0,0.0,19,2,51152,1,1,1,0,67180.0,0,2019,3,1,2019,3,2
44.0,1.0,19,1,45796,1,1,1,0,259392.0,0,2019,5,1,2018,9,19
29.0,1.0,19,0,58812,2,2,1,0,64658.0,0,2019,5,1,2019,7,1
41.0,1.0,1,2,94685,3,3,0,0,0.0,0,2020,12,1,2020,11,17
47.0,0.0,1,2,140769,2,4,1,0,478879.0,0,2020,8,1,2018,10,2
45.0,1.0,1,2,62135,2,2,1,0,0.0,0,2019,3,1,2018,9,15
32.0,0.0,1,1,55937,3,3,1,0,152276.67,0,2020,5,1,2019,6,13
36.0,0.0,1,0,33327,1,1,1,0,181520.0,0,2019,3,1,2018,8,8
40.0,0.0,1,1,49592,2,2,0,1,303575.38,0,2020,12,1,2019,12,24
45.0,0.0,1,2,83084,3,3,1,0,852461.54,0,2020,1,1,2018,9,7
24.0,0.0,1,1,26563,1,1,1,0,30088.0,0,2020,5,1,2020,1,16
28.0,0.0,1,1,55938,3,3,1,0,0.0,0,2020,3,1,2020,2,2
35.0,1.0,1,1,35284,2,2,0,1,166978.0,0,2020,12,1,2020,7,31
31.0,1.0,1,1,92158,3,3,1,0,214446.0,0,2020,4,1,2019,2,12
36.0,1.0,1,0,57044,2,3,1,0,0.0,0,2019,2,1,2018,5,1
28.0,1.0,1,1,71326,2,2,0,0,0.0,0,2020,12,1,2020,1,9
33.0,0.0,1,2,56317,2,2,1,0,19400.0,0,2019,10,1,2019,5,27
33.0,0.0,1,2,55441,2,2,1,0,0.0,0,2019,2,1,2018,3,12
31.0,0.0,1,1,50609,2,2,0,1,634994.62,0,2020,12,1,2019,10,12
44.0,0.0,1,0,39564,1,1,1,0,105346.67,0,2019,7,1,2019,2,24
31.0,1.0,1,2,33134,1,1,1,0,591058.7,0,2020,11,1,2018,7,15
31.0,1.0,4,0,60555,1,1,1,0,0.0,0,2019,3,1,2018,11,30
34.0,0.0,18,2,135879,3,3,1,0,395470.0,0,2019,8,1,2018,6,16
35.0,0.0,18,0,127616,4,4,0,0,1319153.0,0,2020,12,1,2020,8,3
40.0,1.0,20,2,117830,3,3,0,0,369652.14,0,2020,12,1,2019,10,29
37.0,0.0,20,2,107473,2,4,0,1,1866316.84,0,2020,12,1,2019,6,20
39.0,1.0,20,1,58347,2,2,1,0,156725.0,0,2019,2,1,2018,10,21
33.0,0.0,20,0,13743,1,1,1,0,111040.0,0,2019,3,1,2018,9,17
38.0,1.0,20,2,51609,2,2,0,1,489017.5,0,2020,12,1,2020,4,5
30.0,0.0,20,2,67650,2,2,1,0,167031.0,0,2020,9,1,2019,8,12
27.0,0.0,20,2,35727,1,1,1,0,91234.0,0,2020,7,1,2020,7,3
24.0,1.0,20,0,44740,2,2,1,0,0.0,0,2020,5,1,2020,1,2
29.0,0.0,20,2,44630,2,2,0,0,0.0,0,2020,12,1,2020,10,30
45.0,0.0,20,1,51911,1,2,0,0,1286219.58,1,2020,12,1,2018,9,18
32.0,0.0,20,0,28186,1,1,1,0,0.0,0,2020,12,1,2020,9,20
48.0,1.0,20,1,49113,1,1,0,1,508578.33,0,2020,12,1,2018,7,20
